JW32_TP016.npy Masking [7, 5] results in correlation (0.304, 0.799) for AF 7 
JW32_TP007.npy Masking [3, 7] results in correlation (0.105, 0.733) for AF 7 
JW32_TP007.npy Masking [4, 7] results in correlation (0.174, 0.751) for AF 7 
JW32_TP007.npy Masking [5, 7] results in correlation (0.159, 0.771) for AF 7 
JW32_TP007.npy Masking [6, 7] results in correlation (0.114, 0.715) for AF 7 
JW32_TP007.npy Masking [0, 1, 7] results in correlation (0.127, 0.570) for AF 7 
JW32_TP007.npy Masking [0, 2, 7] results in correlation (0.126, 0.635) for AF 7 
JW32_TP007.npy Masking [0, 3, 7] results in correlation (0.044, 0.618) for AF 7 
JW32_TP007.npy Masking [0, 4, 7] results in correlation (0.150, 0.573) for AF 7 
JW32_TP007.npy Masking [0, 5, 7] results in correlation (0.115, 0.725) for AF 7 
JW32_TP007.npy Masking [0, 6, 7] results in correlation (0.322, 0.575) for AF 7 
JW32_TP007.npy Masking [1, 2, 7] results in correlation (0.086, 0.664) for AF 7 
JW32_TP007.npy Masking [1, 3, 7] results in correlation (0.072, 0.697) for AF 7 
JW32_TP007.npy Masking [1, 4, 7] results in correlation (0.015, 0.669) for AF 7 
JW32_TP007.npy Masking [1, 5, 7] results in correlation (0.038, 0.694) for AF 7 
JW32_TP007.npy Masking [1, 6, 7] results in correlation (0.142, 0.625) for AF 7 
JW32_TP007.npy Masking [2, 3, 7] results in correlation (-0.094, 0.727) for AF 7 
JW32_TP007.npy Masking [2, 4, 7] results in correlation (0.137, 0.710) for AF 7 
JW32_TP007.npy Masking [2, 5, 7] results in correlation (0.107, 0.724) for AF 7 
JW32_TP007.npy Masking [2, 6, 7] results in correlation (-0.022, 0.678) for AF 7 
JW32_TP007.npy Masking [3, 4, 7] results in correlation (0.154, 0.681) for AF 7 
JW32_TP007.npy Masking [3, 5, 7] results in correlation (0.008, 0.773) for AF 7 
JW32_TP007.npy Masking [3, 6, 7] results in correlation (0.056, 0.677) for AF 7 
JW32_TP007.npy Masking [4, 5, 7] results in correlation (-0.152, 0.753) for AF 7 
JW32_TP007.npy Masking [4, 6, 7] results in correlation (0.104, 0.724) for AF 7 
JW32_TP007.npy Masking [5, 6, 7] results in correlation (0.014, 0.737) for AF 7 
JW32_TP014.npy Masking [0, 1] results in correlation (0.748, 0.690) for AF 0 
JW32_TP014.npy Masking [7, 1] results in correlation (0.393, 0.928) for AF 7 
JW32_TP014.npy Masking [0, 2, 1] results in correlation (0.789, 0.685) for AF 0 
JW32_TP014.npy Masking [0, 3, 1] results in correlation (0.773, 0.681) for AF 0 
JW32_TP014.npy Masking [0, 5, 1] results in correlation (0.733, 0.649) for AF 0 
JW32_TP014.npy Masking [0, 6, 1] results in correlation (0.625, 0.621) for AF 0 
JW32_TP014.npy Masking [0, 7, 1] results in correlation (0.738, 0.696) for AF 0 
JW32_TP014.npy Masking [0, 7, 1] results in correlation (0.347, 0.921) for AF 7 
JW32_TP014.npy Masking [2, 7, 1] results in correlation (0.350, 0.917) for AF 7 
JW32_TP014.npy Masking [3, 7, 1] results in correlation (0.296, 0.911) for AF 7 
JW32_TP014.npy Masking [5, 7, 1] results in correlation (0.620, 0.971) for AF 7 
JW32_TP014.npy Masking [6, 7, 1] results in correlation (0.370, 0.861) for AF 7 
JW32_TP029.npy Masking [0, 1, 7] results in correlation (0.586, 0.600) for AF 0 
JW32_TP029.npy Masking [1, 6, 7] results in correlation (0.782, 0.688) for AF 1 
JW32_TP029.npy Masking [1, 6, 7] results in correlation (0.507, 0.862) for AF 6 
JW32_TP031.npy Masking [0, 1, 7] results in correlation (0.775, 0.601) for AF 0 
JW32_TP031.npy Masking [0, 6, 7] results in correlation (0.693, 0.911) for AF 6 
JW32_TP031.npy Masking [1, 6, 7] results in correlation (0.542, 0.795) for AF 6 
JW32_TP016.npy Masking [7, 5] results in correlation (0.470, 0.947) for AF 7 
JW32_TP016.npy Masking [0, 7, 5] results in correlation (0.408, 0.902) for AF 7 
JW32_TP016.npy Masking [1, 7, 5] results in correlation (0.532, 0.965) for AF 7 
JW32_TP016.npy Masking [2, 7, 5] results in correlation (0.592, 0.974) for AF 7 
JW32_TP016.npy Masking [3, 7, 5] results in correlation (0.584, 0.970) for AF 7 
JW32_TP016.npy Masking [4, 7, 5] results in correlation (0.489, 0.951) for AF 7 
JW32_TP016.npy Masking [6, 7, 5] results in correlation (0.439, 0.928) for AF 7 
JW32_TP001.npy Masking [7, 4] results in correlation (0.184, 0.623) for AF 7 
JW32_TP001.npy Masking [0, 1, 4] results in correlation (0.537, 0.585) for AF 0 
JW32_TP001.npy Masking [0, 1, 4] results in correlation (0.635, 0.907) for AF 1 
JW32_TP001.npy Masking [0, 7, 4] results in correlation (0.681, 0.750) for AF 0 
JW32_TP001.npy Masking [0, 7, 4] results in correlation (0.217, 0.668) for AF 7 
JW32_TP001.npy Masking [1, 7, 4] results in correlation (0.360, 0.724) for AF 7 
JW32_TP001.npy Masking [2, 7, 4] results in correlation (0.207, 0.630) for AF 7 
JW32_TP001.npy Masking [3, 5, 4] results in correlation (0.854, 0.661) for AF 5 
JW32_TP001.npy Masking [3, 7, 4] results in correlation (0.148, 0.591) for AF 7 
JW32_TP001.npy Masking [5, 7, 4] results in correlation (0.248, 0.638) for AF 7 
JW32_TP001.npy Masking [6, 7, 4] results in correlation (0.058, 0.559) for AF 7 
JW32_TP005.npy Masking [7, 6] results in correlation (0.030, 0.613) for AF 7 
JW32_TP005.npy Masking [0, 1, 6] results in correlation (0.479, 0.514) for AF 0 
JW32_TP005.npy Masking [0, 1, 6] results in correlation (0.743, 0.565) for AF 1 
JW32_TP005.npy Masking [0, 7, 6] results in correlation (0.692, 0.685) for AF 0 
JW32_TP005.npy Masking [0, 7, 6] results in correlation (-0.064, 0.458) for AF 7 
JW32_TP005.npy Masking [1, 7, 6] results in correlation (0.823, 0.512) for AF 1 
JW32_TP005.npy Masking [1, 7, 6] results in correlation (-0.046, 0.526) for AF 7 
JW32_TP005.npy Masking [2, 7, 6] results in correlation (0.102, 0.630) for AF 7 
JW32_TP005.npy Masking [3, 7, 6] results in correlation (0.029, 0.612) for AF 7 
JW32_TP005.npy Masking [4, 7, 6] results in correlation (-0.040, 0.571) for AF 7 
JW32_TP005.npy Masking [5, 7, 6] results in correlation (-0.011, 0.576) for AF 7 
JW32_TP032.npy Masking [6, 7] results in correlation (0.699, 0.896) for AF 6 
JW32_TP032.npy Masking [0, 1, 7] results in correlation (0.703, 0.422) for AF 0 
JW32_TP032.npy Masking [0, 1, 7] results in correlation (0.680, 0.662) for AF 1 
JW32_TP032.npy Masking [0, 6, 7] results in correlation (0.871, 0.697) for AF 0 
JW32_TP032.npy Masking [0, 6, 7] results in correlation (0.667, 0.899) for AF 6 
JW32_TP032.npy Masking [1, 6, 7] results in correlation (0.577, 0.835) for AF 6 
JW32_TP032.npy Masking [3, 6, 7] results in correlation (0.678, 0.889) for AF 6 
JW32_TP032.npy Masking [4, 6, 7] results in correlation (0.686, 0.898) for AF 6 
JW32_TP032.npy Masking [5, 6, 7] results in correlation (0.696, 0.909) for AF 6 
JW32_TP009.npy Masking [7, 2] results in correlation (0.191, 0.845) for AF 7 
JW32_TP009.npy Masking [0, 1, 2] results in correlation (0.631, 0.697) for AF 0 
JW32_TP009.npy Masking [0, 7, 2] results in correlation (0.127, 0.833) for AF 7 
JW32_TP009.npy Masking [1, 7, 2] results in correlation (0.176, 0.823) for AF 7 
JW32_TP009.npy Masking [3, 7, 2] results in correlation (0.199, 0.866) for AF 7 
JW32_TP009.npy Masking [4, 7, 2] results in correlation (0.231, 0.848) for AF 7 
JW32_TP009.npy Masking [5, 7, 2] results in correlation (0.218, 0.864) for AF 7 
JW32_TP009.npy Masking [6, 7, 2] results in correlation (0.080, 0.742) for AF 7 
JW32_TP027.npy Masking [0, 3, 7] results in correlation (0.808, 0.657) for AF 0 
JW32_TP020.npy Masking [0, 1, 7] results in correlation (0.636, 0.358) for AF 0 
JW32_TP020.npy Masking [1, 6, 7] results in correlation (0.561, 0.878) for AF 6 
JW32_TP025.npy Masking [0, 7] results in correlation (0.850, 0.683) for AF 0 
JW32_TP025.npy Masking [6, 7] results in correlation (0.484, 0.940) for AF 6 
JW32_TP025.npy Masking [0, 1, 7] results in correlation (0.579, 0.296) for AF 0 
JW32_TP025.npy Masking [0, 3, 7] results in correlation (0.863, 0.693) for AF 0 
JW32_TP025.npy Masking [0, 4, 7] results in correlation (0.881, 0.695) for AF 0 
JW32_TP025.npy Masking [0, 5, 7] results in correlation (0.863, 0.685) for AF 0 
JW32_TP025.npy Masking [0, 6, 7] results in correlation (0.847, 0.620) for AF 0 
JW32_TP025.npy Masking [0, 6, 7] results in correlation (0.434, 0.937) for AF 6 
JW32_TP025.npy Masking [1, 6, 7] results in correlation (0.074, 0.888) for AF 6 
JW32_TP025.npy Masking [2, 6, 7] results in correlation (0.506, 0.921) for AF 6 
JW32_TP025.npy Masking [3, 6, 7] results in correlation (0.493, 0.944) for AF 6 
JW32_TP025.npy Masking [4, 6, 7] results in correlation (0.523, 0.944) for AF 6 
JW32_TP025.npy Masking [5, 6, 7] results in correlation (0.508, 0.946) for AF 6 
JW32_TP004_2.npy Masking [7, 4] results in correlation (0.243, 0.727) for AF 7 
JW32_TP004_2.npy Masking [0, 1, 4] results in correlation (0.633, 0.525) for AF 0 
JW32_TP004_2.npy Masking [0, 7, 4] results in correlation (0.250, 0.737) for AF 7 
JW32_TP004_2.npy Masking [1, 7, 4] results in correlation (0.285, 0.748) for AF 7 
JW32_TP004_2.npy Masking [2, 7, 4] results in correlation (0.345, 0.721) for AF 7 
JW32_TP004_2.npy Masking [3, 7, 4] results in correlation (0.216, 0.730) for AF 7 
JW32_TP004_2.npy Masking [5, 7, 4] results in correlation (0.236, 0.705) for AF 7 
JW32_TP004_2.npy Masking [6, 7, 4] results in correlation (0.035, 0.625) for AF 7 
JW32_TP006.npy Masking [7] results in correlation (0.154, 0.743) for AF 7 
JW32_TP006.npy Masking [0, 1] results in correlation (0.681, 0.750) for AF 0 
JW32_TP006.npy Masking [0, 7] results in correlation (0.126, 0.753) for AF 7 
JW32_TP006.npy Masking [1, 7] results in correlation (0.213, 0.757) for AF 7 
JW32_TP006.npy Masking [2, 7] results in correlation (0.068, 0.756) for AF 7 
JW32_TP006.npy Masking [3, 7] results in correlation (0.126, 0.717) for AF 7 
JW32_TP006.npy Masking [4, 7] results in correlation (0.143, 0.735) for AF 7 
JW32_TP006.npy Masking [5, 7] results in correlation (0.110, 0.727) for AF 7 
JW32_TP006.npy Masking [6, 7] results in correlation (0.202, 0.661) for AF 7 
JW32_TP006.npy Masking [0, 1, 2] results in correlation (0.659, 0.759) for AF 0 
JW32_TP006.npy Masking [0, 1, 3] results in correlation (0.634, 0.703) for AF 0 
JW32_TP006.npy Masking [0, 1, 4] results in correlation (0.635, 0.748) for AF 0 
JW32_TP006.npy Masking [0, 1, 5] results in correlation (0.633, 0.731) for AF 0 
JW32_TP006.npy Masking [0, 1, 6] results in correlation (0.710, 0.687) for AF 0 
JW32_TP006.npy Masking [0, 1, 7] results in correlation (0.588, 0.617) for AF 0 
JW32_TP006.npy Masking [0, 1, 7] results in correlation (0.125, 0.772) for AF 7 
JW32_TP006.npy Masking [0, 2, 7] results in correlation (0.005, 0.769) for AF 7 
JW32_TP006.npy Masking [0, 3, 7] results in correlation (0.102, 0.712) for AF 7 
JW32_TP006.npy Masking [0, 4, 7] results in correlation (0.088, 0.747) for AF 7 
JW32_TP006.npy Masking [0, 5, 7] results in correlation (0.054, 0.734) for AF 7 
JW32_TP006.npy Masking [0, 6, 7] results in correlation (0.072, 0.677) for AF 7 
JW32_TP006.npy Masking [1, 2, 7] results in correlation (0.160, 0.778) for AF 7 
JW32_TP006.npy Masking [1, 3, 7] results in correlation (0.144, 0.748) for AF 7 
JW32_TP006.npy Masking [1, 4, 7] results in correlation (0.192, 0.727) for AF 7 
JW32_TP006.npy Masking [1, 5, 7] results in correlation (0.143, 0.742) for AF 7 
JW32_TP006.npy Masking [1, 6, 7] results in correlation (0.449, 0.936) for AF 6 
JW32_TP006.npy Masking [1, 6, 7] results in correlation (0.286, 0.667) for AF 7 
JW32_TP006.npy Masking [2, 3, 7] results in correlation (0.110, 0.712) for AF 7 
JW32_TP006.npy Masking [2, 4, 7] results in correlation (0.113, 0.791) for AF 7 
JW32_TP006.npy Masking [2, 5, 7] results in correlation (0.049, 0.760) for AF 7 
JW32_TP006.npy Masking [2, 6, 7] results in correlation (0.088, 0.702) for AF 7 
JW32_TP006.npy Masking [3, 4, 7] results in correlation (0.127, 0.756) for AF 7 
JW32_TP006.npy Masking [3, 5, 7] results in correlation (0.086, 0.742) for AF 7 
JW32_TP006.npy Masking [3, 6, 7] results in correlation (0.094, 0.658) for AF 7 
JW32_TP006.npy Masking [4, 5, 7] results in correlation (0.135, 0.714) for AF 7 
JW32_TP006.npy Masking [4, 6, 7] results in correlation (0.199, 0.642) for AF 7 
JW32_TP006.npy Masking [5, 6, 7] results in correlation (0.044, 0.644) for AF 7 
JW32_TP003.npy Masking [7, 2, 6] results in correlation (0.357, 0.624) for AF 7 
JW32_TP010.npy Masking [7, 3] results in correlation (0.327, 0.743) for AF 7 
JW32_TP010.npy Masking [0, 1, 3] results in correlation (0.612, 0.728) for AF 0 
JW32_TP010.npy Masking [0, 7, 3] results in correlation (-0.014, 0.490) for AF 7 
JW32_TP010.npy Masking [1, 7, 3] results in correlation (0.233, 0.753) for AF 7 
JW32_TP010.npy Masking [2, 7, 3] results in correlation (0.206, 0.702) for AF 7 
JW32_TP010.npy Masking [4, 7, 3] results in correlation (0.442, 0.736) for AF 7 
JW32_TP010.npy Masking [5, 7, 3] results in correlation (0.189, 0.667) for AF 7 
JW32_TP010.npy Masking [6, 7, 3] results in correlation (0.140, 0.654) for AF 7 
JW32_TP026.npy Masking [0, 1, 7] results in correlation (0.531, 0.538) for AF 0 
JW32_TP026.npy Masking [6, 1, 7] results in correlation (0.494, 0.825) for AF 6 
JW32_TP011.npy Masking [7, 0, 1] results in correlation (0.270, 0.728) for AF 7 
JW32_TP013.npy Masking [7] results in correlation (0.495, 0.938) for AF 7 
JW32_TP013.npy Masking [0, 1] results in correlation (0.697, 0.803) for AF 0 
JW32_TP013.npy Masking [0, 7] results in correlation (0.366, 0.858) for AF 7 
JW32_TP013.npy Masking [1, 7] results in correlation (0.360, 0.907) for AF 7 
JW32_TP013.npy Masking [2, 7] results in correlation (0.361, 0.904) for AF 7 
JW32_TP013.npy Masking [3, 7] results in correlation (0.491, 0.938) for AF 7 
JW32_TP013.npy Masking [4, 7] results in correlation (0.481, 0.937) for AF 7 
JW32_TP013.npy Masking [5, 7] results in correlation (0.552, 0.948) for AF 7 
JW32_TP013.npy Masking [6, 7] results in correlation (0.323, 0.898) for AF 7 
JW32_TP013.npy Masking [0, 1, 2] results in correlation (0.672, 0.753) for AF 0 
JW32_TP013.npy Masking [0, 1, 3] results in correlation (0.681, 0.812) for AF 0 
JW32_TP013.npy Masking [0, 1, 4] results in correlation (0.676, 0.801) for AF 0 
JW32_TP013.npy Masking [0, 1, 5] results in correlation (0.698, 0.788) for AF 0 
JW32_TP013.npy Masking [0, 1, 6] results in correlation (0.687, 0.779) for AF 0 
JW32_TP013.npy Masking [0, 1, 7] results in correlation (0.646, 0.753) for AF 0 
JW32_TP013.npy Masking [0, 1, 7] results in correlation (0.376, 0.868) for AF 7 
JW32_TP013.npy Masking [0, 2, 7] results in correlation (0.349, 0.833) for AF 7 
JW32_TP013.npy Masking [0, 3, 7] results in correlation (0.416, 0.838) for AF 7 
JW32_TP013.npy Masking [0, 4, 7] results in correlation (0.373, 0.825) for AF 7 
JW32_TP013.npy Masking [0, 5, 7] results in correlation (0.291, 0.831) for AF 7 
JW32_TP013.npy Masking [0, 6, 7] results in correlation (0.335, 0.768) for AF 7 
JW32_TP013.npy Masking [1, 2, 7] results in correlation (0.356, 0.905) for AF 7 
JW32_TP013.npy Masking [1, 3, 7] results in correlation (0.482, 0.928) for AF 7 
JW32_TP013.npy Masking [1, 4, 7] results in correlation (0.355, 0.910) for AF 7 
JW32_TP013.npy Masking [1, 5, 7] results in correlation (0.342, 0.924) for AF 7 
JW32_TP013.npy Masking [1, 6, 7] results in correlation (0.694, 0.959) for AF 6 
JW32_TP013.npy Masking [1, 6, 7] results in correlation (0.254, 0.872) for AF 7 
JW32_TP013.npy Masking [2, 3, 7] results in correlation (0.419, 0.890) for AF 7 
JW32_TP013.npy Masking [2, 4, 7] results in correlation (0.439, 0.926) for AF 7 
JW32_TP013.npy Masking [2, 5, 7] results in correlation (0.432, 0.929) for AF 7 
JW32_TP013.npy Masking [2, 6, 7] results in correlation (0.292, 0.887) for AF 7 
JW32_TP013.npy Masking [3, 4, 7] results in correlation (0.558, 0.963) for AF 7 
JW32_TP013.npy Masking [3, 5, 7] results in correlation (0.657, 0.969) for AF 7 
JW32_TP013.npy Masking [3, 6, 7] results in correlation (0.257, 0.866) for AF 7 
JW32_TP013.npy Masking [4, 5, 7] results in correlation (0.441, 0.889) for AF 7 
JW32_TP013.npy Masking [4, 6, 7] results in correlation (0.285, 0.867) for AF 7 
JW32_TP013.npy Masking [5, 6, 7] results in correlation (0.336, 0.895) for AF 7 
JW32_TP056.npy Masking [0, 1, 7] results in correlation (0.458, 0.330) for AF 0 
JW32_TP056.npy Masking [6, 1, 7] results in correlation (0.482, 0.810) for AF 6 
JW32_TP008.npy Masking [7, 2] results in correlation (0.220, 0.745) for AF 7 
JW32_TP008.npy Masking [0, 1, 2] results in correlation (0.471, 0.698) for AF 0 
JW32_TP008.npy Masking [0, 7, 2] results in correlation (0.167, 0.764) for AF 7 
JW32_TP008.npy Masking [1, 7, 2] results in correlation (0.240, 0.709) for AF 7 
JW32_TP008.npy Masking [3, 7, 2] results in correlation (0.037, 0.712) for AF 7 
JW32_TP008.npy Masking [4, 7, 2] results in correlation (0.090, 0.689) for AF 7 
JW32_TP008.npy Masking [5, 7, 2] results in correlation (0.145, 0.726) for AF 7 
JW32_TP008.npy Masking [6, 7, 2] results in correlation (0.255, 0.590) for AF 7 
JW32_TP023.npy Masking [0, 5, 7] results in correlation (0.852, 0.682) for AF 0 
JW32_TP023.npy Masking [6, 5, 7] results in correlation (0.594, 0.930) for AF 6 
JW32_TP024.npy Masking [0, 1, 7] results in correlation (0.701, 0.522) for AF 0 
JW32_TP024.npy Masking [0, 6, 7] results in correlation (0.916, 0.682) for AF 0 
JW32_TP024.npy Masking [1, 6, 7] results in correlation (0.845, 0.604) for AF 1 
JW32_TP024.npy Masking [1, 6, 7] results in correlation (0.661, 0.860) for AF 6 
JW32_TP030.npy Masking [6, 7] results in correlation (0.617, 0.910) for AF 6 
JW32_TP030.npy Masking [0, 1, 7] results in correlation (0.662, 0.432) for AF 0 
JW32_TP030.npy Masking [0, 6, 7] results in correlation (0.811, 0.681) for AF 0 
JW32_TP030.npy Masking [0, 6, 7] results in correlation (0.573, 0.893) for AF 6 
JW32_TP030.npy Masking [1, 6, 7] results in correlation (0.514, 0.822) for AF 6 
JW32_TP030.npy Masking [2, 3, 7] results in correlation (0.874, 0.575) for AF 2 
JW32_TP030.npy Masking [2, 6, 7] results in correlation (0.596, 0.904) for AF 6 
JW32_TP030.npy Masking [3, 6, 7] results in correlation (0.652, 0.913) for AF 6 
JW32_TP030.npy Masking [4, 6, 7] results in correlation (0.630, 0.910) for AF 6 
JW32_TP030.npy Masking [5, 6, 7] results in correlation (0.598, 0.916) for AF 6 
JW32_TP002.npy Masking [7] results in correlation (0.034, 0.686) for AF 7 
JW32_TP002.npy Masking [0, 1] results in correlation (0.528, 0.687) for AF 0 
JW32_TP002.npy Masking [0, 1] results in correlation (0.621, 0.883) for AF 1 
JW32_TP002.npy Masking [0, 7] results in correlation (0.673, 0.815) for AF 0 
JW32_TP002.npy Masking [0, 7] results in correlation (0.214, 0.658) for AF 7 
JW32_TP002.npy Masking [1, 7] results in correlation (0.276, 0.640) for AF 7 
JW32_TP002.npy Masking [2, 7] results in correlation (0.012, 0.630) for AF 7 
JW32_TP002.npy Masking [3, 7] results in correlation (-0.092, 0.624) for AF 7 
JW32_TP002.npy Masking [4, 7] results in correlation (0.117, 0.654) for AF 7 
JW32_TP002.npy Masking [5, 7] results in correlation (0.063, 0.608) for AF 7 
JW32_TP002.npy Masking [6, 7] results in correlation (-0.020, 0.671) for AF 7 
JW32_TP002.npy Masking [0, 1, 2] results in correlation (0.511, 0.738) for AF 0 
JW32_TP002.npy Masking [0, 1, 2] results in correlation (0.640, 0.878) for AF 1 
JW32_TP002.npy Masking [0, 1, 3] results in correlation (0.507, 0.651) for AF 0 
JW32_TP002.npy Masking [0, 1, 3] results in correlation (0.594, 0.851) for AF 1 
JW32_TP002.npy Masking [0, 1, 4] results in correlation (0.530, 0.701) for AF 0 
JW32_TP002.npy Masking [0, 1, 4] results in correlation (0.641, 0.878) for AF 1 
JW32_TP002.npy Masking [0, 1, 5] results in correlation (0.501, 0.698) for AF 0 
JW32_TP002.npy Masking [0, 1, 5] results in correlation (0.652, 0.879) for AF 1 
JW32_TP002.npy Masking [0, 1, 6] results in correlation (0.544, 0.653) for AF 0 
JW32_TP002.npy Masking [0, 1, 6] results in correlation (0.483, 0.854) for AF 1 
JW32_TP002.npy Masking [0, 1, 7] results in correlation (0.361, 0.369) for AF 0 
JW32_TP002.npy Masking [0, 1, 7] results in correlation (0.231, 0.771) for AF 1 
JW32_TP002.npy Masking [0, 1, 7] results in correlation (0.333, 0.611) for AF 7 
JW32_TP002.npy Masking [0, 2, 7] results in correlation (0.687, 0.844) for AF 0 
JW32_TP002.npy Masking [0, 2, 7] results in correlation (0.273, 0.491) for AF 7 
JW32_TP002.npy Masking [0, 3, 7] results in correlation (0.081, 0.660) for AF 7 
JW32_TP002.npy Masking [0, 4, 7] results in correlation (0.675, 0.823) for AF 0 
JW32_TP002.npy Masking [0, 4, 7] results in correlation (0.263, 0.628) for AF 7 
JW32_TP002.npy Masking [0, 5, 7] results in correlation (0.675, 0.801) for AF 0 
JW32_TP002.npy Masking [0, 5, 7] results in correlation (0.207, 0.598) for AF 7 
JW32_TP002.npy Masking [0, 6, 7] results in correlation (0.693, 0.754) for AF 0 
JW32_TP002.npy Masking [0, 6, 7] results in correlation (0.125, 0.670) for AF 7 
JW32_TP002.npy Masking [1, 2, 7] results in correlation (0.256, 0.532) for AF 7 
JW32_TP002.npy Masking [1, 3, 7] results in correlation (0.098, 0.650) for AF 7 
JW32_TP002.npy Masking [1, 4, 7] results in correlation (0.356, 0.646) for AF 7 
JW32_TP002.npy Masking [1, 5, 7] results in correlation (0.359, 0.589) for AF 7 
JW32_TP002.npy Masking [1, 6, 7] results in correlation (0.566, 0.763) for AF 1 
JW32_TP002.npy Masking [1, 6, 7] results in correlation (0.499, 0.930) for AF 6 
JW32_TP002.npy Masking [1, 6, 7] results in correlation (0.137, 0.495) for AF 7 
JW32_TP002.npy Masking [2, 3, 7] results in correlation (-0.119, 0.620) for AF 7 
JW32_TP002.npy Masking [2, 4, 7] results in correlation (0.120, 0.551) for AF 7 
JW32_TP002.npy Masking [2, 5, 7] results in correlation (0.005, 0.559) for AF 7 
JW32_TP002.npy Masking [2, 6, 7] results in correlation (0.012, 0.565) for AF 7 
JW32_TP002.npy Masking [3, 4, 7] results in correlation (-0.001, 0.556) for AF 7 
JW32_TP002.npy Masking [3, 5, 7] results in correlation (-0.072, 0.574) for AF 7 
JW32_TP002.npy Masking [3, 6, 7] results in correlation (-0.069, 0.665) for AF 7 
JW32_TP002.npy Masking [4, 5, 7] results in correlation (0.168, 0.578) for AF 7 
JW32_TP002.npy Masking [4, 6, 7] results in correlation (-0.076, 0.645) for AF 7 
JW32_TP002.npy Masking [5, 6, 7] results in correlation (0.005, 0.628) for AF 7 
JW32_TP018.npy Masking [4, 3, 5] results in correlation (0.973, 0.541) for AF 4 
JW32_TP018.npy Masking [7, 3, 5] results in correlation (0.252, 0.574) for AF 7 
JW32_TP003_3.npy Masking [7, 1, 6] results in correlation (0.467, 0.789) for AF 7 
JW32_TP015.npy Masking [7] results in correlation (0.573, 0.965) for AF 7 
JW32_TP015.npy Masking [0, 1] results in correlation (0.794, 0.580) for AF 0 
JW32_TP015.npy Masking [0, 2] results in correlation (0.876, 0.616) for AF 0 
JW32_TP015.npy Masking [0, 4] results in correlation (0.888, 0.693) for AF 0 
JW32_TP015.npy Masking [0, 6] results in correlation (0.893, 0.673) for AF 0 
JW32_TP015.npy Masking [0, 7] results in correlation (0.306, 0.916) for AF 7 
JW32_TP015.npy Masking [3, 7] results in correlation (0.585, 0.969) for AF 7 
JW32_TP015.npy Masking [4, 7] results in correlation (0.529, 0.957) for AF 7 
JW32_TP015.npy Masking [5, 7] results in correlation (0.452, 0.951) for AF 7 
JW32_TP015.npy Masking [6, 7] results in correlation (0.208, 0.902) for AF 7 
JW32_TP015.npy Masking [0, 1, 2] results in correlation (0.765, 0.488) for AF 0 
JW32_TP015.npy Masking [0, 1, 3] results in correlation (0.802, 0.636) for AF 0 
JW32_TP015.npy Masking [0, 1, 4] results in correlation (0.776, 0.574) for AF 0 
JW32_TP015.npy Masking [0, 1, 5] results in correlation (0.745, 0.606) for AF 0 
JW32_TP015.npy Masking [0, 1, 6] results in correlation (0.811, 0.489) for AF 0 
JW32_TP015.npy Masking [0, 1, 7] results in correlation (0.792, 0.606) for AF 0 
JW32_TP015.npy Masking [0, 1, 7] results in correlation (0.360, 0.927) for AF 7 
JW32_TP015.npy Masking [0, 2, 3] results in correlation (0.868, 0.585) for AF 0 
JW32_TP015.npy Masking [0, 2, 4] results in correlation (0.886, 0.594) for AF 0 
JW32_TP015.npy Masking [0, 2, 5] results in correlation (0.866, 0.660) for AF 0 
JW32_TP015.npy Masking [0, 2, 6] results in correlation (0.871, 0.512) for AF 0 
JW32_TP015.npy Masking [0, 2, 7] results in correlation (0.886, 0.632) for AF 0 
JW32_TP015.npy Masking [0, 2, 7] results in correlation (0.324, 0.924) for AF 7 
JW32_TP015.npy Masking [0, 3, 4] results in correlation (0.885, 0.674) for AF 0 
JW32_TP015.npy Masking [0, 3, 6] results in correlation (0.897, 0.690) for AF 0 
JW32_TP015.npy Masking [0, 3, 7] results in correlation (0.316, 0.925) for AF 7 
JW32_TP015.npy Masking [0, 4, 5] results in correlation (0.894, 0.674) for AF 0 
JW32_TP015.npy Masking [0, 4, 6] results in correlation (0.892, 0.604) for AF 0 
JW32_TP015.npy Masking [0, 4, 7] results in correlation (0.910, 0.681) for AF 0 
JW32_TP015.npy Masking [0, 4, 7] results in correlation (0.321, 0.921) for AF 7 
JW32_TP015.npy Masking [0, 5, 6] results in correlation (0.899, 0.684) for AF 0 
JW32_TP015.npy Masking [0, 5, 7] results in correlation (0.276, 0.912) for AF 7 
JW32_TP015.npy Masking [0, 6, 7] results in correlation (0.886, 0.524) for AF 0 
JW32_TP015.npy Masking [0, 6, 7] results in correlation (0.192, 0.865) for AF 7 
JW32_TP015.npy Masking [1, 2, 7] results in correlation (0.448, 0.938) for AF 7 
JW32_TP015.npy Masking [1, 3, 7] results in correlation (0.553, 0.962) for AF 7 
JW32_TP015.npy Masking [1, 4, 7] results in correlation (0.330, 0.909) for AF 7 
JW32_TP015.npy Masking [1, 5, 7] results in correlation (0.436, 0.939) for AF 7 
JW32_TP015.npy Masking [1, 6, 7] results in correlation (0.119, 0.785) for AF 7 
JW32_TP015.npy Masking [2, 3, 7] results in correlation (0.494, 0.951) for AF 7 
JW32_TP015.npy Masking [2, 4, 7] results in correlation (0.449, 0.944) for AF 7 
JW32_TP015.npy Masking [2, 5, 7] results in correlation (0.413, 0.935) for AF 7 
