JW32_TP016.npy Masking [7, 5] results in correlation (0.304, 0.799) for AF 7 
JW32_TP032.npy Masking [2, 3, 7] results in correlation (0.765, 0.060) for AF 2 
JW32_TP032.npy Masking [2, 6, 7] results in correlation (0.517, 0.775) for AF 6 
JW32_TP032.npy Masking [3, 4, 7] results in correlation (0.959, 0.696) for AF 4 
JW32_TP032.npy Masking [4, 5, 7] results in correlation (0.854, 0.526) for AF 5 
JW32_TP032.npy Masking [4, 6, 7] results in correlation (0.609, 0.838) for AF 6 
JW32_TP032.npy Masking [5, 6, 7] results in correlation (0.145, 0.741) for AF 6 
JW32_TP009.npy Masking [7, 2] results in correlation (0.080, 0.836) for AF 7 
JW32_TP009.npy Masking [0, 1, 2] results in correlation (-0.031, 0.628) for AF 0 
JW32_TP009.npy Masking [0, 1, 2] results in correlation (0.600, 0.657) for AF 1 
JW32_TP009.npy Masking [0, 3, 2] results in correlation (0.751, 0.592) for AF 0 
JW32_TP009.npy Masking [0, 6, 2] results in correlation (0.808, 0.642) for AF 0 
JW32_TP009.npy Masking [0, 7, 2] results in correlation (0.860, 0.656) for AF 0 
JW32_TP009.npy Masking [0, 7, 2] results in correlation (0.359, 0.849) for AF 7 
JW32_TP009.npy Masking [1, 6, 2] results in correlation (0.515, 0.956) for AF 6 
JW32_TP009.npy Masking [1, 7, 2] results in correlation (0.295, 0.528) for AF 7 
JW32_TP009.npy Masking [3, 4, 2] results in correlation (0.700, 0.445) for AF 3 
JW32_TP009.npy Masking [3, 7, 2] results in correlation (0.356, 0.880) for AF 7 
JW32_TP009.npy Masking [4, 5, 2] results in correlation (0.863, 0.166) for AF 5 
JW32_TP009.npy Masking [4, 7, 2] results in correlation (-0.241, 0.566) for AF 7 
JW32_TP009.npy Masking [5, 7, 2] results in correlation (0.177, 0.835) for AF 7 
JW32_TP009.npy Masking [6, 7, 2] results in correlation (0.436, 0.569) for AF 6 
JW32_TP009.npy Masking [6, 7, 2] results in correlation (0.063, 0.550) for AF 7 
JW32_TP027.npy Masking [0, 3, 7] results in correlation (0.874, 0.690) for AF 0 
JW32_TP027.npy Masking [2, 3, 7] results in correlation (0.639, 0.217) for AF 2 
JW32_TP020.npy Masking [0, 1, 7] results in correlation (-0.026, 0.319) for AF 0 
JW32_TP020.npy Masking [0, 1, 7] results in correlation (0.521, 0.706) for AF 1 
JW32_TP020.npy Masking [0, 2, 7] results in correlation (0.892, 0.690) for AF 0 
JW32_TP020.npy Masking [0, 3, 7] results in correlation (0.902, 0.655) for AF 0 
JW32_TP020.npy Masking [0, 5, 7] results in correlation (0.861, 0.697) for AF 0 
JW32_TP020.npy Masking [0, 6, 7] results in correlation (0.868, 0.582) for AF 0 
JW32_TP020.npy Masking [0, 6, 7] results in correlation (0.699, 0.784) for AF 6 
JW32_TP020.npy Masking [1, 6, 7] results in correlation (0.775, 0.198) for AF 1 
JW32_TP020.npy Masking [1, 6, 7] results in correlation (0.100, 0.718) for AF 6 
JW32_TP020.npy Masking [2, 3, 7] results in correlation (0.745, 0.320) for AF 2 
JW32_TP020.npy Masking [2, 6, 7] results in correlation (0.694, 0.740) for AF 6 
JW32_TP020.npy Masking [4, 5, 7] results in correlation (0.756, -0.228) for AF 5 
JW32_TP020.npy Masking [4, 6, 7] results in correlation (0.591, 0.824) for AF 6 
JW32_TP020.npy Masking [5, 6, 7] results in correlation (0.627, 0.761) for AF 6 
JW32_TP025.npy Masking [6, 7] results in correlation (0.603, 0.829) for AF 6 
JW32_TP025.npy Masking [0, 1, 7] results in correlation (0.036, 0.083) for AF 0 
JW32_TP025.npy Masking [0, 1, 7] results in correlation (0.280, 0.748) for AF 1 
JW32_TP025.npy Masking [0, 3, 7] results in correlation (0.902, 0.696) for AF 0 
JW32_TP025.npy Masking [0, 4, 7] results in correlation (0.885, 0.686) for AF 0 
JW32_TP025.npy Masking [0, 5, 7] results in correlation (0.904, 0.692) for AF 0 
JW32_TP025.npy Masking [0, 6, 7] results in correlation (0.796, 0.554) for AF 0 
JW32_TP025.npy Masking [0, 6, 7] results in correlation (0.393, 0.616) for AF 6 
JW32_TP025.npy Masking [1, 6, 7] results in correlation (0.813, -0.143) for AF 1 
JW32_TP025.npy Masking [1, 6, 7] results in correlation (0.271, 0.622) for AF 6 
JW32_TP025.npy Masking [2, 3, 7] results in correlation (0.696, 0.434) for AF 2 
JW32_TP025.npy Masking [2, 6, 7] results in correlation (0.258, 0.722) for AF 6 
JW32_TP025.npy Masking [3, 4, 7] results in correlation (0.904, 0.645) for AF 3 
JW32_TP025.npy Masking [3, 6, 7] results in correlation (0.425, 0.744) for AF 6 
JW32_TP025.npy Masking [4, 5, 7] results in correlation (0.753, -0.082) for AF 5 
JW32_TP025.npy Masking [4, 6, 7] results in correlation (0.456, 0.765) for AF 6 
JW32_TP025.npy Masking [5, 6, 7] results in correlation (-0.011, 0.586) for AF 6 
JW32_TP004_2.npy Masking [3, 4] results in correlation (0.940, 0.625) for AF 3 
JW32_TP004_2.npy Masking [5, 4] results in correlation (0.712, -0.005) for AF 5 
